,시설명,시설주소
0,임마누엘보호작업시설,서울특별시 송파구 양산로10길 26
1,아름다운,서울특별시 중랑구 망우로55길 32한국프라우드아파트
2,마리스타보호작업장,충청북도 충주시 지속골길 71
3,강북구립장애인보호작업장,서울특별시 강북구 오현로 199-9
4,용산구립장애인보호작업장,서울특별시 용산구 한강대로 3311~2층
5,다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16
6,동천,서울특별시 노원구 노원로18길 41하계동
7,노원교육복지재단(다모인),서울특별시 노원구 노원로 311중계제1공단
8,원광보호작업장,서울특별시 중랑구 신내로 56마동
9,참좋은센터,서울특별시 중랑구 봉화산로56길 99-15(신내동)
10,신아보호작업장,서울특별시 송파구 양산로8길 17신아보호작업장
11,조은세상,"서울특별시 중랑구 동일로140길 31-21(2층,3층)"
12,데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14장안동
13,북서울장애인보호작업시설,서울특별시 강북구 한천로115길 20-0501동
14,삼성떡프린스,서울특별시 동작구 양녕로30길 19-4
15,교남어유지동산,경기도 파주시 적성면 어못내길
16,소망제이앤피,서울특별시 강남구 언주로167길 351층
17,보담터,서울특별시 노원구 중계로 163-0보담터
18,라온클린패밀리,서울특별시 강동구 고덕로 295-45(고덕동)
19,중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55(묵동)
20,해맑음보호작업시설,서울특별시 노원구 동일로 1097(공릉동)
21,가브리엘작업장,서울특별시 노원구 한글비석로24라길 94-13
22,더해봄(종로구립장애인근로사업장),서울특별시 종로구 대학로3길 141층
23,북부장애인직업재활시설,서울특별시 노원구 덕릉로70가길 92
24,대린직업훈련원,서울특별시 노원구 동일로248길 30상계동
25,동안제일복지센터,서울특별시 송파구 거마로 792층
26,동안우리복지센터,서울특별시 강동구 풍성로 1462층
27,사회복지법인 에덴복지재단 에덴하우스,경기도 파주시 소라지로195번길 47-30(신촌동)
28,바오로교실보호작업장,서울특별시 은평구 증산로5길 7
29,열림일터,서울특별시 강서구 까치산로 136
30,아람마을,서울특별시 노원구 월계로 338-16
31,은평구립직업재활센터,서울특별시 은평구 녹번로1길 131층
32,파란마음복지센터,서울특별시 강동구 진황도로 100하이브
33,함께사는세상,서울특별시 관악구 국회단지길 671층
34,해피워크,서울특별시 성북구 오패산로 21-04층
35,아이티어빌리티센터,서울특별시 강동구 고덕로 106301호
36,강동그린나래복지센터,서울특별시 강동구 고덕로 100-5(암사동)
37,나자로의집보호작업장,서울특별시 관악구 남부순환로194길 811층
38,실로암장애인근로사업장,서울특별시 관악구 남부순환로 1717
39,성분도보호작업장,경기도 광주시 국사봉로 159-10
40,에스알씨(SRC)직업재활센터,경기도 성남시 중원구 둔촌대로
41,성모자애보호작업장,서울특별시 강남구 헌릉로757길 35
42,동작구립장애인보호작업장,서울특별시 동작구 등용로12길 57동작구립장애인보호작업장
43,성모보호작업장,서울특별시 성동구 금호산9가길 57-10
44,성동보호작업장,서울특별시 성동구 청계천로 506-0성동장애인종합복지관
45,광진장애인보호작업장,서울특별시 광진구 동일로80길 20
46,정립장애인보호작업장,서울특별시 광진구 워커힐로 93정립회관
47,정립전자,서울특별시 광진구 워커힐로 93정립전자
48,사랑의일터,서울특별시 서초구 효령로55길 287층
49,구로구립장애인보호작업장,서울특별시 구로구 경인로 21
50,서울남부보호작업장,서울특별시 동작구 여의대방로20길 33
51,번동보호작업장,서울특별시 강북구 한천로 115길
52,연화직업재활원,서울특별시 송파구 가락로 865층
53,비둘기직업적응훈련센터,서울특별시 종로구 동숭4길 28
54,(사)대한안마사협회부설안마수련원,서울특별시 서초구 서초중앙로22길 105
55,문혜장애인보호작업장,강원도 철원군 텃골1길 13(문혜리)
56,보호작업장 인강원,서울특별시 도봉구 평화로15번길 9-25(도봉동)
57,충현보호작업장,서울특별시 강남구 논현로98길 16
58,라파엘직업재활센터,경기도 여주시 강천면 원양1로
59,그라나다보호작업센터,서울특별시 강서구 허준로5길 37
60,기쁜우리보호작업장,서울특별시 강서구 허준로 65
61,강서구휴먼희망일터,서울특별시 강서구 강서로 466우리벤처타운
62,리드릭,서울특별시 영등포구 양산로 96양산로
63,마포구립장애인직업재활센터(수아밀),서울특별시 마포구 매봉산로 18(상암동
64,똘레랑스,서울특별시 은평구 연서로21길 31-0
65,서울장애인종합복지관보호작업장,서울특별시 강동구 고덕로 201(고덕동)
66,해나무일터,서울특별시 구로구 남부순환로 105라길25-10
67,도봉장애인보호작업시설,서울특별시 도봉구 마들로 664-172층
68,마라보호작업장,서울특별시 송파구 송이로34길 43-1
69,성지보호작업장,서울특별시 강동구 동남로85길 15(고덕동)
70,아이비장애인보호작업장,"서울특별시 강동구 구천면로39길 121층,"
71,은평보호작업장,서울특별시 은평구 갈현로11길 30
72,하은장애인보호작업장,서울특별시 양천구 목동동로8길 95층
73,EM실천,서울특별시 금천구 서부샛길 648대륭테크노타운6차
74,효명장애인보호작업시설,서울특별시 송파구 올림픽로 269롯데캐슬프라자
75,선한복지센터,"서울특별시 강동구 양재대로91길 62(성내동,"
76,구립강서구직업재활센터,서울특별시 강서구 허준로 95-9외
77,서울시립미래형장애인직업재활시설그린내,서울특별시 서대문구 명지2길 14-0(홍은동)
78,희망일터,서울특별시 광진구 천호대로 622
79,서울시립미래형장애인직업재활시설굿윌스토어,서울특별시 송파구 마천로 226지하1층~지상2층
80,빛가람장애인시설,서울특별시 은평구 대서문길 36지하
81,구립송파구장애인보호작업장,서울특별시 송파구 양산로 53층
82,보라매보호작업장,서울특별시 금천구 가산디지털2로 136승일벤처타워302
83,드림장애인보호작업장,서울특별시 양천구 지양로 7
84,행복한나무,서울특별시 영등포구 양산로 96
85,갑을장애인직업휴먼센터,서울특별시 관악구 난우16길 13-7
86,우리마포보호작업장,서울특별시 마포구 신촌로26길 10우리마포보호작업장
87,송파위더스,서울특별시 송파구 성내천로 333-4333-4
88,효정,서울특별시 강북구 삼양로77길 38(수유동)
89,다사랑(대한정신보건가족협회),서울특별시 강서구 개화동로7길 3-16
90,초록등대장애인보호작업장,"서울특별시 강서구 송정로1길 19베이스빌딩,"
91,강서나누리센터,서울특별시 강서구 공항대로7가길 21-3
92,함재보호작업장,"서울특별시 송파구 송파대로 4121,2,4층"
93,사회복지법인 에덴복지재단 형원,경기도 파주시 소라지로195번길47-20 (신촌동)
94,늘푸름보호작업장,서울특별시 구로구 부일로1나길38(온수동)
95,희망일굼터,"서울특별시 양천구 신정로267 (신정동,"
96,중증장애인다수고용사업장굿윌스토어밀알도봉점,서울특별시 도봉구 마들로 664-17
97,금천구립장애인보호작업장,서울특별시 금천구 한내로 69-15금천한내복지관내
98,동문엔터프라이즈,"서울특별시 동대문구 한천로 58-22층,"
99,강서구희망센터,"서울특별시 강서구 화곡로31길 25지층(화곡동),"
100,빛나눔보호작업장,서울특별시 은평구 수색로 390-29
101,밀알그린보호작업장,서울특별시 강남구 밤고개로1길 341층
102,공감보호작업장,"서울특별시 성동구 아차산로144, B101호,"
103,행복플러스보호작업장,서울특별시 성북구 화랑로134 (하월곡동2-2)
104,장애인내일키움직업교육센터,서울특별시 서대문구 연희로33가길6-15 (연희동)
105,오뚜기직업재활센터,"서울특별시 영등포구 영신로40길16, 2층"
106,소망드림복지센터,서울특별시 강동구 양재대로116길 202층
107,행복을파는장사꾼,서울특별시 강서구 까치산로 134
108,꿈드래장애인일자리센터,서울특별시 동대문구 장한로28가길 70
109,마포푸르메직업재활센터,서울특별시 마포구 월드컵북로 494-0
110,래그랜느보호작업장,서울특별시 강남구 양재대로55길13 (일원동)
111,행복 보호작업장,"서울특별시 송파구 성내천로 271217,"
112,SG블루웰,서울특별시 금천구 두산로 70-0
113,소울터보호작업장,"서울특별시 금천구 범안로1138, 603호"
114,한우리보호작업장,서울특별시 서초구 남부순환로340길 15
115,늘품 장애인 보호작업장,서울특별시 서대문구 홍은중앙로 105-0
116,참행복한세상,"서울특별시 강서구 강서로 462대룡드림타워-1,"
117,베데스다직업적응훈련시설,서울특별시 노원구 공릉로58마길 27
118,송파구장애인직업재활지원센터,"서울특별시 송파구 양산로 5,"
119,더원직업훈련센터,서울특별시 동대문구 장한로 25602호
120,직업재능개발센터,"서울특별시 강동구 올림픽로588, 3층"
121,한결엠보호작업장,"서울특별시 금천구 가산디지털1로 131,"
122,블루나래,"서울특별시 구로구 디지털로 272,"
123,두손장애인보호작업장,"서울특별시 송파구 동남로6길 34-1,"
124,모두누리 직업재활센터,서울특별시 구로구 디지털로27길 24506호(벽산디지털밸리
125,기쁨나무,서울특별시 금천구 시흥대로80길 19
126,서울특별시립장애인영농직업재활시설,경기도 남양주시 진접읍 양진로725
127,강남세움보호작업장,"서울특별시 강남구 광평로60길22, 2층"
128,두빛나래보호작업장,서울특별시 성동구 성수일로 10
129,강남세움근로사업장 굿윌스토어,"서울특별시 강남구 광평로60길 22,"
130,강남세움 직업훈련센터,"서울특별시 강남구 광평로60길 22,"
131,사랑손직업적응훈련시설,"서울특별시 동작구 사당로 90,"
132,두리하나다울,"서울특별시 구로구 경인로53길 90,"
133,누보,"서울특별시 중구 충무로29, 402호,"
134,소담,"서울특별시 중랑구 상봉로 69,"
135,스프링샤인,서울특별시 은평구 갈현로11길 30
136,소담,"서울특별시 중랑구 상봉로69 (면목동,"
137,다은보호작업장,"서울특별시 은평구 통일로71길 8,"
138,단양노인장애인복지관, 
139,금강직업재활시설, 
140,소담,서울특별시 중랑구 상봉로 695층
141,스프링샤인,서울특별시 은평구 갈현로11길 30
142,다가옴,서울특별시 강동구 고덕로 106201호
143,누야하우스,서울특별시 은평구 갈현로11길 30(구산동)
